CellID,X_centroid,Y_centroid,phenotype,Cluster
312710,30966.64673913044,23882.82608695652,NK,114
784011,28054.364864864863,23305.77027027027,NK,115
347798,27301.0,23248.43298969072,NK,116
646718,28913.74747474748,23705.353535353537,NK,117
766111,28739.31707317073,23637.378048780487,NK,118
504276,29837.690751445087,23823.69364161849,NK,119
397851,31035.51428571429,23923.83571428572,NK,120
1039211,27228.880434782608,23247.380434782608,NK,121
432604,28257.59574468085,23426.106382978724,NK,122
403225,27937.14009661836,23358.31400966184,NK,123
218988,28666.14606741573,23361.988764044945,NK,124
962247,27470.5375,23329.1875,NK,125
514704,28121.66225165563,23351.40397350993,NK,126
591047,27314.008771929824,23299.83333333333,NK,127
407857,31075.919786096256,23541.73262032085,NK,128
161311,30389.95569620253,23625.981012658227,NK,129
659289,28932.574257425746,23678.16336633664,NK,130
324823,30172.275862068964,23223.06206896552,NK,131
317497,28980.32738095238,23808.85119047619,NK,132
353618,30189.91489361702,23168.25531914893,NK,133
282178,30830.3137254902,23736.598039215685,NK,134
849380,27673.50420168068,23251.76050420168,NK,135
551103,27379.15537848605,23314.51792828685,NK,136
1027210,27772.401785714286,23367.964285714286,NK,137
618957,27885.693779904308,23276.813397129183,NK,138
733289,27960.714285714286,23296.63095238096,NK,139
